Club,Presidente,Vicepresidente,Presidente anterior (periodo),Presidente anterior (periodo),Presidente anterior (periodo)
Cerro Porteño,Juan José Zapag Galeano,Daniel Prieto,Raúl Vicente Zapag (2019–2022),Juan Pedro Zapag (2015–2019),—
Club Guaraní,Emilio Ramón Daher,Luis Cáceres,Juan Alberto Acosta Rojas (2010–2020),Ramón Antonio Acosta (2006–2010),—
Sportivo Luqueño,Hugo Alberto Rodríguez,Carlos González,Celso Ramón Cáceres (2016–2020),Ramón González Daher (2012–2016),—
Nacional (Asunción),Juan Carlos Galeano Martínez,Gustavo Peña,Robert Alexis Harrison Paleari (2006–2015),Óscar Vicente Paciello (2002–2006),—
Sportivo Trinidense,Norman Alberto Rieder,—,Miguel Ángel Martínez Rojas (2015–2019),Carlos Enrique Rojas (2011–2015),—
Libertad,Rubén Antonio Di Tore,Iván Di Tore,Horacio Manuel Cartes Jara (2001–2012),Carlos Alberto Gamarra Pavón (1998–2001),—
Olimpia,Miguel Ángel Cardona,Pedro Balotta,Marco Antonio Trovato Villalba (2014–2020),Óscar Vicente Paciello (2010–2014),—
2 de Mayo,Luis Eduardo Ayala,—,Nelson Ismael Rojas (2015–2020),Carlos Ramón Vera (2010–2015),—
Deportivo Recoleta,Carlos Alberto Gamarra,—,Víctor Hugo Sosa (2000–2010),Ramón Duarte Benítez (1995–2000),—
General Caballero JLM,Jorge Andrés González,—,Juan Carlos Rojas (2015–2020),Edgar Ramón Ríos (2010–2015),—
Sportivo Ameliano,Héctor Manuel Melgarejo,—,Nelson David Vera (2010–2018),Ricardo Javier López (2005–2010),—
Club Atlético Tembetary,Ricardo Javier López,—,Martín Alejandro Duarte (1995–2000),Luis Alberto Gavilán (1990–1995),—